"Parent ID number","ID number","Short name",Description,"Description format","Scale values","Scale configuration","Rule type (optional)","Rule outcome (optional)","Rule config (optional)","Cross-referenced competency ID numbers","Exported ID (optional)","Is framework",Taxonomy
,001,"Master-Level Green Coding ","<p>This competency framework entails all competencies that were developed through a literature review and a focus group in the course of my master thesis.</p>",1,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":1,""scaledefault"":1,""proficient"":1}]",,,,,,1,"competency,competency,competency,competency"
,001,"Effects of Human Actions on the Environment","<p>Evaluate direct and indirect environmental impacts of human behaviour in order to recommend strategies that reduce impacts such as emissions, resource depletion, and waste.</p>",1,,,,0,null,,1,,
,002,"Importance of Sustainability","<p>Internalize importance of sustainable actions and foster intrinsic motivation to continue sustainable practices.</p>",1,,,,0,null,,2,,
,003,"Effects of ICT Sector on the Environment","<p>Comprehend the effects of production, use, and disposal of hardware and software connected to the ICT sector.</p>",1,,,,0,null,,3,,
,004,"Risks of Sustainability","<p>Comprehend and identify pitfalls of sustainability, e.g. Greenwashing or Rebound Effect. </p>",1,,,,0,null,,4,,
,005,"Integrate Sustainability into Existing Structures","<p>Propose and implement the expansion of an established system to ensure the integration of sustainability into existing company structures.</p>",1,,,,0,null,,5,,
,006,"Motivating and Poignant Communication","<p>Capture and motivate an audience by communication with passion and poignancy and yet professionally in both oral and written form.</p>",1,,,,0,null,,6,,
,007,"Change Management","<p>Understand the difficulties change brings for employees and meet them with compassion, patience, and resilience. </p>",1,,,,0,null,,7,,
,008,"Governance and Legal Frameworks","<p>Comprehend and apply basic legal language and frameworks in order to reach a company's governance goals.</p>",1,,,,0,null,,8,,
,009,"Software Quality Assessment	","<p>Inspect existing software in regards to their software quality on basis of relevant standards and sustainability aspects.</p>",1,,,,0,null,,9,,
,010,"Usability and Accessibility of Software","<p>Comprehend the importance of inclusivity and accessibility of software and how to enhance them in new and existing projects.</p>",1,,,,0,null,,10,,
,011,"Digital Sobriety and Wellbeing","<p>Comprehend and convey the importance of a responsible approach to digital products and services in order to conceptualize and develop meaningful software products.</p>",1,,,,0,null,,11,,
,012,Self-Improvement,"<p>Understand the necessity to constantly check one's own work and change it if necessary in order to integrate sustainabiliy into work practices.</p>",1,,,,0,null,,12,,
,013,"Independent Research","<p>Connect academic resources in order to gather a holistic overview of a topic.</p>",1,,,,0,null,,13,,
,014,"Literature Quality Assessment","<p>Inspect publications and other resources in regards to their quality and reliability.</p>",1,,,,0,null,,14,,
,015,Presentation,"<p>Present complex and theoretical topics in a structured and captivating way.</p>",1,,,,0,null,,15,,
,016,"Structure and Component Comprehension","<p>Understand complex relations and structures in order connect different components of a overarching topic. </p>",1,,,,0,null,,16,,
,017,"Software Ecosystem","<p>Place software products in a landscape and system and understand their connection and interferences.</p>",1,,,,0,null,,17,,
,018,"No Single Source of Truth in Green Coding","<p>Comprehend the complexity of Green Coding as a topic and accept that for many issues there is no single source of truth but rather different approaches that need to be weighed up and compared. </p>",1,,,,0,null,,18,,
,019,"Analysis of Dynamic and Evolving Fields","<p>Analyse dynamic and changing fields in order to stay on top of fastly evolving topics, e.g. energy prices.</p>",1,,,,0,null,,19,,
,020,"Green Software Development","<p>Comprehend the environmental impact of choices in programming (e.g. algorithms, programming languages) and how their substitution could effect the environmental impact of a software. </p>",1,,,,0,null,,20,,
,021,"Network Structures","<p>Understand, inspect, and create data transfer networks in order to assess energy hotspots or diversions.</p>",1,,,,0,null,,21,,
,022,"Web Development","<p>Understand components of internet in general and websites in specific.</p>",1,,,,0,null,,22,,
,023,"Artificial Intelligence","<p>Comprehend the core concepts, working methods, and areas of application of artificial intelligence systems in order to assess theiir environmental and social impacts.</p>",1,,,,0,null,,23,,
,024,"Green Software Design","<p>Analyse existing systems and software regarding their design and architechtural choices in order to enhance them in regards to sustainability. </p>",1,,,,0,null,,24,,
,025,"Requirements Engineering","<p>Include sustainability into requirements in planning phase of software engineering process.</p>",1,,,,0,null,,25,,
,026,"Agile Project Management","<p>Plan and execute projects in a structured, agile way in order to efficiently manage teams and roles.</p>",1,,,,0,null,,26,,
,027,"Life Cycle Thinking","<p>Broaden horizon when conceptualizing new projects to not just include present day issues, but also past and future thinking. </p>",1,,,,0,null,,27,,
,028,"Collaborative Project Management","<p>Break down problems into tasks and distribute them fairly and according to individual competencies collaboratively in a team.</p>",1,,,,0,null,,28,,
,029,"Individual Project Management","<p>Break down problems into tasks individually, alot appropriate time, and ensure the meeting of deadlines.</p>",1,,,,0,null,,29,,
,030,Teamwork,"<p>Show openness, patience, and helpfulness in collaborative projects to ensure harmonic and productive work environment.</p>",1,,,,0,null,,30,,
,031,"Status Quo Assessment","<p>Inspect and assess the current situation in an organization or company accurately and holisticly in order to gain insights into possible impediments or improvements.</p>",1,,,,0,null,,31,,
